Data;Descricao;Valor;Motorista
20/08/2025;cravinhos x aparecida de goiania;5500,00;//
21/08/2025;cravinhos x aparecida de goiania;5500,00;//
23/08/2025;cravinhos x louveira;2400,00;//
26/08/2025;guarulhus x cravinhos;2400,00;//
27/08/2025;cravinhos x aparecida de goiania;5500,00;//
29/08/2025;cravinhos x louveira;2400,00;//
03/09/2025;extrema x betim;4200,00;//
03/09/2025;extrema x betim;4200,00;//
04/09/2025;extrema x betim;4200,00;//
05/09/2025;extrema x betim;4200,00;//
09/09/2025;extrema x betim;4200,00;//
10/09/2025;extrema x betim;4200,00;//
11/09/2025;extrema x betim;4200,00;//
12/09/2025;extrema x betim;4200,00;//
16/09/2025;extrema x betim;4200,00;//
17/09/2025;extrema x cravinhos;2800,00;//
18/09/2025;cravinhos x aparecida de goiania;5200,00;//
22/09/2025;extrema x betim;4200,00;//
23/09/2025;extrema x betim;4200,00;//
25/09/2025;extrema x betim;4200,00;//
25/09/2025;extrema x betim;4200,00;//
29/09/2025;extrema x betim;4200,00;//
30/09/2025;extrema x betim;4200,00;//
01/10/2025;extrema x betim;4200,00;//
02/10/2025;extrema x betim;4200,00;//
03/10/2025;betim x guarulhus;2900,00;//
07/10/2025;extrema x betim;4200,00;//
10/10/2025;extrema x betim;4200,00;//
10/10/2025;extrema x betim;4200,00;//
13/10/2025;extrema x betim;4200,00;//
14/10/2025;extrema x betim;4200,00;//
15/10/2025;extrema x betim;4200,00;//
17/10/2025;extrema x betim;4200,00;//
17/10/2025;extrema x betim;4200,00;//
21/10/2025;extrema x betim;4200,00;//
22/10/2025;extrema x betim;4200,00;//
23/10/2025;extrema x betim;4200,00;//
25/10/2025;extrema x betim;4200,00;//
28/10/2025;extrema x betim;4200,00;//
28/10/2025;betim x guarulhus;2900,00;//
29/10/2025;extrema x betim;4200,00;//
31/10/2025;extrema x betim;4200,00;//
01/11/2025;extrema x betim;4200,00;//
04/11/2025;extrema x betim;4200,00;//
05/11/2025;extrema x betim;4200,00;//
07/11/2025;extrema x betim;4200,00;//
08/11/2025;extrema x betim;4200,00;//
11/11/2025;extrema x betim;4200,00;//
12/11/2025;extrema x betim;4200,00;//
13/11/2025;extrema x betim;4200,00;//
15/11/2025;extrema x betim;4200,00;//
17/11/2025;extrema x betim;4200,00;//
19/11/2025;extrema x betim;4200,00;//
20/11/2025;extrema x betim;4200,00;//
22/11/2025;extrema x betim;4200,00;//
25/11/2025;extrema x betim;4200,00;//
25/11/2025;extrema x betim;4200,00;//
27/11/2025;extrema x betim;4200,00;//
29/11/2025;extrema x betim;4200,00;//
01/12/2025;extrema x betim;4200,00;//
02/12/2025;extrema x betim;4200,00;//
04/12/2025;extrema x betim;4200,00;//
04/12/2025;extrema x betim;4200,00;//
05/12/2025;extrema x betim;4200,00;//
08/12/2025;extrema x betim;4200,00;//
09/12/2025;extrema x betim;4200,00;//
10/12/2025;extrema x betim;4200,00;//
12/12/2025;extrema x betim;4200,00;//
13/12/2025;extrema x betim;4200,00;//
18/12/2025;extrema x betim;4200,00;//
20/12/2025;são bernardo do campo x betim;0,00;//
23/12/2025;extrema x betim;4200,00;//
23/12/2025;extrema x betim;4200,00;//
27/12/2025;extrema x betim;4200,00;//
